"station_id","timestamp","payload"
"EnvironmentalStation1","1742838793.390099","{""temperature"":{""N"":""-41.73""},""humidity"":{""N"":""99.09""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""1043.55""},""timestamp"":{""N"":""1742838793.390099""}}"
"EnvironmentalStation1","1742838798.395465","{""temperature"":{""N"":""-32.19""},""humidity"":{""N"":""10.46""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""1903.77""},""timestamp"":{""N"":""1742838798.395465""}}"
"EnvironmentalStation1","1742838803.4007099","{""temperature"":{""N"":""36.45""},""humidity"":{""N"":""87.8""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""720.99""},""timestamp"":{""N"":""1742838803.4007099""}}"
"EnvironmentalStation1","1742838808.406314","{""temperature"":{""N"":""8.36""},""humidity"":{""N"":""5.19""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""1753.41""},""timestamp"":{""N"":""1742838808.406314""}}"
"EnvironmentalStation1","1742838813.407993","{""temperature"":{""N"":""4.45""},""humidity"":{""N"":""5.4""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""1803.16""},""timestamp"":{""N"":""1742838813.407993""}}"
"EnvironmentalStation1","1742838818.413339","{""temperature"":{""N"":""-19.53""},""humidity"":{""N"":""91.72""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""1969.79""},""timestamp"":{""N"":""1742838818.413339""}}"
"EnvironmentalStation1","1742839056.711775","{""temperature"":{""N"":""11.65""},""humidity"":{""N"":""22.58""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""742.78""},""timestamp"":{""N"":""1742839056.711775""}}"
"EnvironmentalStation1","1742839061.715518","{""temperature"":{""N"":""27.1""},""humidity"":{""N"":""2.34""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""1859.12""},""timestamp"":{""N"":""1742839061.715518""}}"
"EnvironmentalStation1","1742839066.718109","{""temperature"":{""N"":""43.77""},""humidity"":{""N"":""3.83""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""388.91""},""timestamp"":{""N"":""1742839066.718109""}}"
"EnvironmentalStation1","1742839071.723614","{""temperature"":{""N"":""28.69""},""humidity"":{""N"":""72.5""},""station_id"":{""S"":""EnvironmentalStation1""},""co2"":{""N"":""1099.53""},""timestamp"":{""N"":""1742839071.723614""}}"
